GROUP	ALGO	K	C	LAMBDA	SPEARMAN_CORR	SPEARMAN_P	CONF_INT_LOWER	CONF_INT_UPPER
QB1		3	0.9	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		4	0.9	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		5	0.9	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		6	0.9	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		7	0.9	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		2	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QA1		4	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QA1		5	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QA1		6	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QA1		7	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QB1		8	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QB1		9	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QB1	simrank	10	0.9	1	0.869304927	0.001086985	0.60975501	0.960468754
QA1		2	0.5	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		3	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		4	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		5	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		6	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		7	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		8	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		9	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		10	0.7	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		3	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		4	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		5	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		6	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
