ALGO	QUESTION	K	C	L	W_MEAN_RHO	CONF_INT_GAP	RHO_LOWER	RHO_UPPER	ST_DEV	ST_ERR	Z_SCORE	COMB_P	RHO_RANGE
	ALL	9	0.7	0.2	0.669096248	0.073000723	0.596095526	0.742096971	0.083282948	0.037245267	17.96459814	3.69E-72	0.584 - 0.81
	ALL	10	0.7	0.2	0.681794661	0.092963705	0.588830956	0.774758366	0.106057737	0.047430462	14.37461573	7.47E-47	0.584 - 0.881
	ALL	0	0.9	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.9	0.2	0.621900481	0.066462374	0.555438107	0.688362855	0.075823667	0.033909375	18.34007525	3.96E-75	0.548 - 0.729
	ALL	2	0.9	0.2	0.585247373	0.148989688	0.436257685	0.734237061	0.169975036	0.076015147	7.699088894	1.37E-14	0.262 - 0.778
	ALL	3	0.9	0.2	0.673329053	0.056646892	0.61668216	0.729975945	0.064625664	0.028901476	23.29739351	4.71E-120	0.584 - 0.738
	ALL	4	0.9	0.2	0.622535402	0.117584122	0.50495128	0.740119523	0.134145964	0.059991899	10.37699113	3.16E-25	0.381 - 0.786
	ALL	5	0.9	0.2	0.673509153	0.08966561	0.583843544	0.763174763	0.102295101	0.04574776	14.72223237	4.64E-49	0.565 - 0.857
	ALL	6	0.9	0.2	0.65081074	0.077558742	0.573251998	0.728369483	0.088482969	0.039570787	16.44674751	8.85E-61	0.565 - 0.786
	ALL	7	0.9	0.2	0.663509153	0.096024549	0.567484605	0.759533702	0.109549703	0.048992117	13.54318203	8.69E-42	0.565 - 0.857
	ALL	8	0.9	0.2	0.65081074	0.077558742	0.573251998	0.728369483	0.088482969	0.039570787	16.44674751	8.85E-61	0.565 - 0.786
	ALL	9	0.9	0.2	0.65081074	0.077558742	0.573251998	0.728369483	0.088482969	0.039570787	16.44674751	8.85E-61	0.565 - 0.786
	ALL	10	0.9	0.2	0.65081074	0.077558742	0.573251998	0.728369483	0.088482969	0.039570787	16.44674751	8.85E-61	0.565 - 0.786
	ALL	0	0.1	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.1	0.3	0.639554458	0.081371221	0.558183237	0.720925679	0.09283244	0.041515929	15.40503784	1.51E-53	0.548 - 0.778
	ALL	2	0.1	0.3	0.637755516	0.080500608	0.557254908	0.718256124	0.0918392	0.041071739	15.52784315	2.25E-54	0.524 - 0.778
	ALL	3	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	4	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	5	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	6	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	7	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	8	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	9	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	10	0.1	0.3	0.64198832	0.0829875	0.559000821	0.72497582	0.094676373	0.042340561	15.16248964	6.26E-52	0.524 - 0.778
	ALL	0	0.3	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.3	0.3	0.639554458	0.081371221	0.558183237	0.720925679	0.09283244	0.041515929	15.40503784	1.51E-53	0.548 - 0.778
	ALL	2	0.3	0.3	0.603893082	0.147477075	0.456416007	0.751370157	0.16824937	0.075243406	8.02586057	1.01E-15	0.286 - 0.778
	ALL	3	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
